"","ID","mumID"
"2","gord","glad"
"37","pumb","puzz"
"72","lia","lisa"
"107","tarz","trac"
"142","harr","herm"
"152","band","brie"
"187","thor","tyva"
"219","disn","daff"
"253","tita","tyva"
"286","bilb","brie"
"316","nobo","naom"
"347","nife","need"
"378","howz","herm"
"409","glac","glad"
"440","tucs","turt"
"471","polk","puzz"
"502","damo","daff"
"534","hect","holl"
"544","piec","puzz"
"565","luxe","lisa"
"578","puck","phoe"
"588","timm","tear"
"601","shel","shum"
"614","stru","shum"
"73","saff","scar"
"108","cind","carm"
"143","oreo","ocea"
"1781","fina","flo"
"2131","gizm","ging"
"2481","spoc","sash"
"2831","fent","fay"
"3161","wolo","wokb"
"3501","pean","phoe"
"3801","funk","fay"
"426","socr","sash"
"4571","cola","coco"
"4881","swee","scar"
"5191","omni","ocea"
"5501","gats","ging"
"5801","cact","carm"
"6111","daen","dori"
"640","lore","lucy"
"676","wood","wokb"
"694","sarg","sash"
"708","pino","phoe"
"734","caba","coco"
"747","home","holl"
"766","guge","ging"
"782","dire","dori"
"800","octo","ocea"
"762","amy","arwe"
"1112","prof","pene"
"1461","peet","pris"
"1813","vect","valk"
"2162","eve","ella"
"2512","leon","laya"
"2862","dart","dott"
"321","katn","kins"
"3561","glue","glit"
"3913","loki","laur"
"4261","kiss","kels"
"4582","deso","dott"
"4902","trip","tear"
"5222","ligh","laur"
"5531","grub","glit"
"584","cube","cycl"
"6032","pupi","pene"
"634","podg","pris"
"6641","elto","ella"
"698","dice","dott"
"7151","torn","tear"
"7341","emil","ella"
"754","unfu","ubun"
"7721","arag","arwe"
"789","kumq","kins"
